"","Line","Trial","Survival","Experiment"
"262","VIR13097","SP15",60,"VIR"
"263","VIR13097","CR16",0,"VIR"
"264","VIR13097","SP16",0,"VIR"
"265","VIR13097","AB16",20,"VIR"
"266","VIR13097","AL16",80,"VIR"
"267","VIR13097","BZ16",100,"VIR"
"268","VIR13097","IT16",95,"VIR"
"269","VIR13097","ME16",15,"VIR"
"270","VIR13097","RM19",90,"VIR"
"271","VIR13105","CR15",0,"VIR"
"272","VIR13105","SP15",60,"VIR"
"273","VIR13105","CR16",0,"VIR"
"274","VIR13105","SP16",0,"VIR"
"275","VIR13105","AB16",70,"VIR"
"276","VIR13105","AL16",90,"VIR"
"277","VIR13105","BZ16",100,"VIR"
"278","VIR13105","IT16",98,"VIR"
"279","VIR13105","ME16",30,"VIR"
"280","VIR13105","RM19",100,"VIR"
"281","VIR13109","CR15",0,"VIR"
"282","VIR13109","SP15",60,"VIR"
"283","VIR13109","CR16",0,"VIR"
"284","VIR13109","SP16",0,"VIR"
"285","VIR13109","AB16",30,"VIR"
"286","VIR13109","AL16",80,"VIR"
"287","VIR13109","BZ16",100,"VIR"
"288","VIR13109","IT16",98,"VIR"
"289","VIR13109","ME16",50,"VIR"
"290","VIR13109","RM19",90,"VIR"
"291","VIR13123","CR15",0,"VIR"
"292","VIR13123","SP15",60,"VIR"
"293","VIR13123","CR16",0,"VIR"
"294","VIR13123","SP16",0,"VIR"
"295","VIR13123","AB16",10,"VIR"
"296","VIR13123","AL16",25,"VIR"
"297","VIR13123","BZ16",100,"VIR"
"298","VIR13123","IT16",80,"VIR"
"299","VIR13123","ME16",50,"VIR"
"300","VIR13123","RM19",80,"VIR"
"301","VIR13166","CR15",0,"VIR"
"302","VIR13166","SP15",60,"VIR"
"303","VIR13166","CR16",0,"VIR"
"304","VIR13166","SP16",0,"VIR"
"305","VIR13166","AB16",80,"VIR"
"306","VIR13166","AL16",10,"VIR"
"307","VIR13166","BZ16",100,"VIR"
"308","VIR13166","IT16",80,"VIR"
"309","VIR13166","ME16",60,"VIR"
"310","VIR13166","RM19",80,"VIR"
"311","VIR13167","CR15",0,"VIR"
"312","VIR13167","SP15",60,"VIR"
"313","VIR13167","CR16",0,"VIR"
"314","VIR13167","SP16",0,"VIR"
"315","VIR13167","AB16",80,"VIR"
"316","VIR13167","AL16",50,"VIR"
"317","VIR13167","BZ16",100,"VIR"
"318","VIR13167","IT16",100,"VIR"
"319","VIR13167","ME16",40,"VIR"
"320","VIR13167","RM19",100,"VIR"
"321","VIR13168","CR15",0,"VIR"
"322","VIR13168","SP15",60,"VIR"
"323","VIR13168","CR16",0,"VIR"
"324","VIR13168","SP16",60,"VIR"
"325","VIR13168","AB16",90,"VIR"
"326","VIR13168","AL16",40,"VIR"
"327","VIR13168","BZ16",100,"VIR"
"328","VIR13168","IT16",100,"VIR"
"329","VIR13168","ME16",30,"VIR"
"330","VIR13168","RM19",100,"VIR"
"331","VIR13307","CR15",0,"VIR"
"332","VIR13307","SP15",60,"VIR"
"333","VIR13307","CR16",0,"VIR"
"334","VIR13307","SP16",0,"VIR"
"335","VIR13307","AB16",0,"VIR"
"336","VIR13307","AL16",50,"VIR"
"337","VIR13307","BZ16",100,"VIR"
"338","VIR13307","IT16",98,"VIR"
"339","VIR13307","ME16",20,"VIR"
"340","VIR13307","RM19",100,"VIR"
"341","VIR13308","CR15",0,"VIR"
"342","VIR13308","SP15",60,"VIR"
"343","VIR13308","CR16",0,"VIR"
"344","VIR13308","SP16",0,"VIR"
"345","VIR13308","AB16",100,"VIR"
"346","VIR13308","AL16",70,"VIR"
"347","VIR13308","BZ16",100,"VIR"
"348","VIR13308","IT16",100,"VIR"
"349","VIR13308","ME16",50,"VIR"
"350","VIR13308","RM19",100,"VIR"
"351","VIR13470","CR15",0,"VIR"
"352","VIR13470","SP15",70,"VIR"
"353","VIR13470","CR16",0,"VIR"
"354","VIR13470","SP16",0,"VIR"
"355","VIR13470","AB16",80,"VIR"
"356","VIR13470","AL16",80,"VIR"
"357","VIR13470","BZ16",100,"VIR"
"358","VIR13470","IT16",95,"VIR"
"359","VIR13470","ME16",60,"VIR"
"360","VIR13470","RM19",100,"VIR"
"361","VIR13471","CR15",0,"VIR"
"362","VIR13471","SP15",60,"VIR"
"363","VIR13471","CR16",0,"VIR"
"364","VIR13471","SP16",0,"VIR"
"365","VIR13471","AB16",0,"VIR"
"366","VIR13471","AL16",80,"VIR"
"367","VIR13471","BZ16",100,"VIR"
"368","VIR13471","IT16",95,"VIR"
"369","VIR13471","ME16",20,"VIR"
"370","VIR13471","RM19",100,"VIR"
"371","VIR13492","CR15",0,"VIR"
"372","VIR13492","SP15",60,"VIR"
"373","VIR13492","CR16",0,"VIR"
"374","VIR13492","SP16",0,"VIR"
"375","VIR13492","AB16",70,"VIR"
"376","VIR13492","AL16",50,"VIR"
"377","VIR13492","BZ16",100,"VIR"
"378","VIR13492","IT16",98,"VIR"
"379","VIR13492","ME16",40,"VIR"
"380","VIR13492","RM19",80,"VIR"
"381","VIR13494","CR15",0,"VIR"
"382","VIR13494","SP15",60,"VIR"
"383","VIR13494","CR16",0,"VIR"
"384","VIR13494","SP16",0,"VIR"
"385","VIR13494","AB16",40,"VIR"
"386","VIR13494","AL16",80,"VIR"
"387","VIR13494","BZ16",100,"VIR"
"388","VIR13494","IT16",95,"VIR"
"389","VIR13494","ME16",40,"VIR"
"390","VIR13494","RM19",90,"VIR"
"391","VIR13587","CR15",0,"VIR"
"392","VIR13587","SP15",60,"VIR"
"393","VIR13587","CR16",0,"VIR"
"394","VIR13587","SP16",0,"VIR"
"395","VIR13587","AB16",100,"VIR"
"396","VIR13587","AL16",90,"VIR"
"397","VIR13587","BZ16",100,"VIR"
"398","VIR13587","IT16",100,"VIR"
"399","VIR13587","ME16",40,"VIR"
"400","VIR13587","RM19",100,"VIR"
"401","VIR13590","CR15",0,"VIR"
"402","VIR13590","SP15",60,"VIR"
"403","VIR13590","CR16",0,"VIR"
"404","VIR13590","SP16",0,"VIR"
"405","VIR13590","AB16",30,"VIR"
"406","VIR13590","AL16",10,"VIR"
"407","VIR13590","BZ16",100,"VIR"
"408","VIR13590","IT16",98,"VIR"
"409","VIR13590","ME16",40,"VIR"
"410","VIR13590","RM19",100,"VIR"
"411","VIR13592","CR15",0,"VIR"
"412","VIR13592","SP15",60,"VIR"
"413","VIR13592","CR16",0,"VIR"
"414","VIR13592","SP16",0,"VIR"
"415","VIR13592","AB16",100,"VIR"
"416","VIR13592","AL16",80,"VIR"
"417","VIR13592","BZ16",100,"VIR"
"418","VIR13592","IT16",100,"VIR"
"419","VIR13592","ME16",40,"VIR"
"420","VIR13592","RM19",80,"VIR"
"421","VIR13593","CR15",0,"VIR"
"422","VIR13593","SP15",60,"VIR"
"423","VIR13593","CR16",0,"VIR"
"424","VIR13593","SP16",0,"VIR"
"425","VIR13593","AB16",10,"VIR"
"426","VIR13593","AL16",70,"VIR"
"427","VIR13593","BZ16",100,"VIR"
"428","VIR13593","IT16",100,"VIR"
"429","VIR13593","ME16",50,"VIR"
"430","VIR13593","RM19",100,"VIR"
"431","VIR13621","CR15",0,"VIR"
"432","VIR13621","SP15",60,"VIR"
"433","VIR13621","CR16",0,"VIR"
"434","VIR13621","SP16",0,"VIR"
"435","VIR13621","AB16",10,"VIR"
"436","VIR13621","AL16",50,"VIR"
"437","VIR13621","BZ16",100,"VIR"
"438","VIR13621","IT16",100,"VIR"
"439","VIR13621","ME16",20,"VIR"
"440","VIR13621","RM19",100,"VIR"
"441","VIR13644","CR15",0,"VIR"
"442","VIR13644","SP15",60,"VIR"
"443","VIR13644","CR16",0,"VIR"
"444","VIR13644","SP16",80,"VIR"
"445","VIR13644","AB16",100,"VIR"
"446","VIR13644","AL16",50,"VIR"
"447","VIR13644","BZ16",100,"VIR"
"448","VIR13644","IT16",100,"VIR"
"449","VIR13644","ME16",60,"VIR"
"450","VIR13644","RM19",100,"VIR"
"451","VIR13651","CR15",0,"VIR"
"452","VIR13651","SP15",60,"VIR"
"453","VIR13651","CR16",0,"VIR"
"454","VIR13651","SP16",80,"VIR"
"455","VIR13651","AB16",90,"VIR"
"456","VIR13651","AL16",40,"VIR"
"457","VIR13651","BZ16",100,"VIR"
"458","VIR13651","IT16",95,"VIR"
"459","VIR13651","ME16",40,"VIR"
"460","VIR13651","RM19",100,"VIR"
"461","VIR13792","CR15",0,"VIR"
"462","VIR13792","SP15",60,"VIR"
"463","VIR13792","CR16",0,"VIR"
"464","VIR13792","SP16",0,"VIR"
"465","VIR13792","AB16",90,"VIR"
"466","VIR13792","AL16",10,"VIR"
"467","VIR13792","BZ16",100,"VIR"
"468","VIR13792","IT16",50,"VIR"
"469","VIR13792","ME16",80,"VIR"
"470","VIR13792","RM19",100,"VIR"
"471","VIR13794","CR15",0,"VIR"
"472","VIR13794","SP15",60,"VIR"
"473","VIR13794","CR16",0,"VIR"
"474","VIR13794","SP16",0,"VIR"
"475","VIR13794","AB16",90,"VIR"
"476","VIR13794","AL16",50,"VIR"
"477","VIR13794","BZ16",100,"VIR"
"478","VIR13794","IT16",100,"VIR"
"479","VIR13794","ME16",40,"VIR"
"480","VIR13794","RM19",90,"VIR"
"481","VIR13814","CR15",0,"VIR"
"482","VIR13814","SP15",60,"VIR"
"483","VIR13814","CR16",0,"VIR"
"484","VIR13814","SP16",0,"VIR"
"485","VIR13814","AB16",70,"VIR"
"486","VIR13814","AL16",20,"VIR"
"487","VIR13814","BZ16",100,"VIR"
"488","VIR13814","IT16",100,"VIR"
"489","VIR13814","ME16",40,"VIR"
"490","VIR13814","RM19",90,"VIR"
"491","VIR13820","CR15",0,"VIR"
"492","VIR13820","SP15",60,"VIR"
"493","VIR13820","CR16",0,"VIR"
"494","VIR13820","SP16",0,"VIR"
"495","VIR13820","AB16",80,"VIR"
"496","VIR13820","AL16",60,"VIR"
"497","VIR13820","BZ16",100,"VIR"
"498","VIR13820","IT16",98,"VIR"
"499","VIR13820","ME16",20,"VIR"
"500","VIR13820","RM19",100,"VIR"
"501","VIR13822","CR15",0,"VIR"
"502","VIR13822","SP15",60,"VIR"
"503","VIR13822","CR16",0,"VIR"
"504","VIR13822","SP16",0,"VIR"
"505","VIR13822","AB16",80,"VIR"
"506","VIR13822","AL16",25,"VIR"
"507","VIR13822","BZ16",100,"VIR"
"508","VIR13822","IT16",90,"VIR"
"509","VIR13822","ME16",60,"VIR"
"510","VIR13822","RM19",100,"VIR"
"511","VIR13824","CR15",0,"VIR"
"512","VIR13824","SP15",60,"VIR"
"513","VIR13824","CR16",0,"VIR"
"514","VIR13824","SP16",0,"VIR"
"515","VIR13824","AB16",20,"VIR"
"516","VIR13824","AL16",25,"VIR"
"517","VIR13824","BZ16",100,"VIR"
"518","VIR13824","IT16",80,"VIR"
"519","VIR13824","ME16",80,"VIR"
"520","VIR13824","RM19",100,"VIR"
"521","VIR13825","CR15",0,"VIR"
"522","VIR13825","SP15",60,"VIR"
"523","VIR13825","CR16",0,"VIR"
"524","VIR13825","SP16",0,"VIR"
"525","VIR13825","AB16",10,"VIR"
"526","VIR13825","AL16",25,"VIR"
"527","VIR13825","BZ16",100,"VIR"
"528","VIR13825","IT16",98,"VIR"
"529","VIR13825","ME16",70,"VIR"
"530","VIR13825","RM19",90,"VIR"
"531","VIR13831","CR15",0,"VIR"
"532","VIR13831","SP15",50,"VIR"
"533","VIR13831","CR16",0,"VIR"
"534","VIR13831","SP16",0,"VIR"
"535","VIR13831","AB16",70,"VIR"
"536","VIR13831","AL16",40,"VIR"
"537","VIR13831","BZ16",100,"VIR"
"538","VIR13831","IT16",95,"VIR"
"539","VIR13831","ME16",30,"VIR"
"540","VIR13831","RM19",100,"VIR"
"541","VIR13836","CR15",0,"VIR"
"542","VIR13836","SP15",60,"VIR"
"543","VIR13836","CR16",0,"VIR"
"544","VIR13836","SP16",0,"VIR"
"545","VIR13836","AB16",100,"VIR"
"546","VIR13836","AL16",80,"VIR"
"547","VIR13836","BZ16",100,"VIR"
"548","VIR13836","IT16",98,"VIR"
"549","VIR13836","ME16",30,"VIR"
"550","VIR13836","RM19",100,"VIR"
"551","VIR13837","CR15",0,"VIR"
"552","VIR13837","SP15",60,"VIR"
"553","VIR13837","CR16",0,"VIR"
"554","VIR13837","SP16",40,"VIR"
"555","VIR13837","AB16",50,"VIR"
"556","VIR13837","AL16",80,"VIR"
"557","VIR13837","BZ16",100,"VIR"
"558","VIR13837","IT16",98,"VIR"
"559","VIR13837","ME16",40,"VIR"
"560","VIR13837","RM19",100,"VIR"
"561","VIR13838","CR15",0,"VIR"
"562","VIR13838","SP15",60,"VIR"
"563","VIR13838","CR16",0,"VIR"
"564","VIR13838","SP16",0,"VIR"
"565","VIR13838","AB16",90,"VIR"
"566","VIR13838","AL16",75,"VIR"
"567","VIR13838","BZ16",100,"VIR"
"568","VIR13838","IT16",98,"VIR"
"569","VIR13838","ME16",40,"VIR"
"570","VIR13838","RM19",90,"VIR"
"571","VIR13839","CR15",0,"VIR"
"572","VIR13839","SP15",60,"VIR"
"573","VIR13839","CR16",0,"VIR"
"574","VIR13839","SP16",0,"VIR"
"575","VIR13839","AB16",100,"VIR"
"576","VIR13839","AL16",90,"VIR"
"577","VIR13839","BZ16",100,"VIR"
"578","VIR13839","IT16",95,"VIR"
"579","VIR13839","ME16",60,"VIR"
"580","VIR13839","RM19",100,"VIR"
"581","VIR13840","CR15",0,"VIR"
"582","VIR13840","SP15",60,"VIR"
"583","VIR13840","CR16",0,"VIR"
"584","VIR13840","SP16",0,"VIR"
"585","VIR13840","AB16",90,"VIR"
"586","VIR13840","AL16",80,"VIR"
"587","VIR13840","BZ16",100,"VIR"
"588","VIR13840","IT16",98,"VIR"
"589","VIR13840","ME16",60,"VIR"
"590","VIR13840","RM19",100,"VIR"
"591","VIR13841","CR15",0,"VIR"
"592","VIR13841","SP15",60,"VIR"
"593","VIR13841","CR16",0,"VIR"
"594","VIR13841","SP16",0,"VIR"
"595","VIR13841","AB16",90,"VIR"
"596","VIR13841","AL16",80,"VIR"
"597","VIR13841","BZ16",100,"VIR"
"598","VIR13841","IT16",98,"VIR"
"599","VIR13841","ME16",50,"VIR"
"600","VIR13841","RM19",100,"VIR"
"601","VIR13843","CR15",0,"VIR"
"602","VIR13843","SP15",60,"VIR"
"603","VIR13843","CR16",0,"VIR"
"604","VIR13843","SP16",0,"VIR"
"605","VIR13843","AB16",20,"VIR"
"606","VIR13843","AL16",80,"VIR"
"607","VIR13843","BZ16",100,"VIR"
"608","VIR13843","IT16",98,"VIR"
"609","VIR13843","ME16",60,"VIR"
"610","VIR13843","RM19",100,"VIR"
"611","VIR13845","CR15",0,"VIR"
"612","VIR13845","SP15",60,"VIR"
"613","VIR13845","CR16",0,"VIR"
"614","VIR13845","SP16",0,"VIR"
"615","VIR13845","AB16",60,"VIR"
"616","VIR13845","AL16",80,"VIR"
"617","VIR13845","BZ16",100,"VIR"
"618","VIR13845","IT16",98,"VIR"
"619","VIR13845","ME16",70,"VIR"
"620","VIR13845","RM19",100,"VIR"
"621","VIR13846","CR15",0,"VIR"
"622","VIR13846","SP15",60,"VIR"
"623","VIR13846","CR16",0,"VIR"
"624","VIR13846","SP16",0,"VIR"
"625","VIR13846","AB16",70,"VIR"
"626","VIR13846","AL16",90,"VIR"
"627","VIR13846","BZ16",100,"VIR"
"628","VIR13846","IT16",100,"VIR"
"629","VIR13846","ME16",50,"VIR"
"630","VIR13846","RM19",100,"VIR"
"631","VIR13847","CR15",0,"VIR"
"632","VIR13847","SP15",60,"VIR"
"633","VIR13847","CR16",0,"VIR"
"634","VIR13847","SP16",0,"VIR"
"635","VIR13847","AB16",40,"VIR"
"636","VIR13847","AL16",80,"VIR"
"637","VIR13847","BZ16",100,"VIR"
"638","VIR13847","IT16",95,"VIR"
"639","VIR13847","ME16",100,"VIR"
"640","VIR13847","RM19",100,"VIR"
"641","VIR13849","CR15",0,"VIR"
"642","VIR13849","SP15",60,"VIR"
"643","VIR13849","CR16",0,"VIR"
"644","VIR13849","SP16",0,"VIR"
"645","VIR13849","AB16",80,"VIR"
"646","VIR13849","AL16",70,"VIR"
"647","VIR13849","BZ16",100,"VIR"
"648","VIR13849","IT16",98,"VIR"
"649","VIR13849","ME16",80,"VIR"
"650","VIR13849","RM19",80,"VIR"
"651","VIR13851","CR15",0,"VIR"
"652","VIR13851","SP15",60,"VIR"
"653","VIR13851","CR16",0,"VIR"
"654","VIR13851","SP16",0,"VIR"
"655","VIR13851","AB16",70,"VIR"
"656","VIR13851","AL16",80,"VIR"
"657","VIR13851","BZ16",100,"VIR"
"658","VIR13851","IT16",98,"VIR"
"659","VIR13851","ME16",50,"VIR"
